,city,lat,lng,max temp(f),humidity(%),cloudiness(%),wind speed(mph),country,date
383,nanakuli,21.39,-158.15,87.01,62,1,11.41,US,1604366447
384,yerbogachen,61.28,108.01,25.48,98,97,8.5,RU,1604366447
385,thinadhoo,0.53,72.93,83.12,73,76,6.67,MV,1604366227
386,massakory,13.0,15.73,83.73,22,100,13.67,TD,1604366447
387,okhotsk,59.38,143.3,31.39,96,100,28.05,RU,1604366227
388,san andres,12.58,-81.7,82.4,78,40,18.34,CO,1604366212
389,richards bay,-28.78,32.04,67.51,93,2,8.19,ZA,1604366228
390,hrodna,53.69,23.83,48.34,96,100,8.32,BY,1604366448
391,matay,28.42,30.78,63.05,73,0,8.48,EG,1604366228
392,panjab,34.39,67.02,25.29,66,0,3.98,AF,1604366449
393,sisimiut,66.94,-53.67,19.31,85,100,18.66,GL,1604366449
394,kamaishi,39.27,141.88,51.8,100,75,4.7,JP,1604366449
395,lagoa,39.05,-27.98,62.2,62,100,14.03,PT,1604366450
396,candolim,15.52,73.76,75.2,100,40,4.7,IN,1604366450
397,verkhnevilyuysk,63.45,120.32,7.16,87,100,7.85,RU,1604366450
398,baijiantan,45.63,85.18,34.34,85,5,1.23,CN,1604366451
399,dossor,47.53,52.98,50.16,45,79,13.94,KZ,1604366230
400,hit,33.64,42.83,70.97,43,100,5.01,IQ,1604366230
401,cururupu,-1.83,-44.87,76.37,89,0,3.31,BR,1604366451
402,evensk,61.95,159.23,27.25,97,100,5.14,RU,1604366451
403,beringovskiy,63.05,179.32,28.11,90,100,7.54,RU,1604366452
404,otofuke,42.99,143.2,46.4,65,75,3.36,JP,1604366452
405,los aquijes,-14.1,-75.69,64.4,82,90,11.41,PE,1604366452
406,los llanos de aridane,28.66,-17.92,71.6,78,0,14.99,ES,1604366452
407,auki,-8.77,160.7,77.25,91,100,1.34,SB,1604366453
408,qui nhon,13.77,109.23,76.33,82,100,16.15,VN,1604366232
409,zaysan,47.47,84.87,35.44,76,95,2.35,KZ,1604366453
410,wharton,29.31,-96.1,60.01,41,1,4.03,US,1604366453
411,pangai,-19.8,-174.35,78.8,88,75,19.46,TO,1604366453
412,mokrous,51.23,47.52,44.26,65,100,6.4,RU,1604366454
413,esfahan,32.66,51.68,37.4,37,0,4.7,IR,1604366454
414,dhidhdhoo,6.88,73.1,82.2,68,1,3.58,MV,1604366454
415,leshukonskoye,64.9,45.76,33.67,91,100,12.82,RU,1604366455
416,ixtapa,20.7,-105.2,82.4,83,5,2.75,MX,1604366455
417,ilinskiy,55.62,38.12,43.0,93,90,4.47,RU,1604366234
418,lewistown,40.6,-77.57,41.0,38,1,13.87,US,1604366455
419,havoysund,71.0,24.66,41.0,75,100,23.04,NO,1604366182
420,oda,35.18,132.5,51.8,100,20,2.24,JP,1604366456
421,olenino,56.21,33.49,40.32,96,19,5.84,RU,1604366456
422,luanda,-8.84,13.23,78.8,83,75,5.82,AO,1604366456
423,aripuana,-9.17,-60.63,73.62,92,96,2.13,BR,1604366456
424,pokrovsk,48.28,37.18,46.74,88,99,3.96,UA,1604366236
425,sambava,-14.27,50.17,69.71,80,100,6.96,MG,1604366236
426,baykit,61.67,96.37,20.17,94,82,6.69,RU,1604366457
427,wanning,18.8,110.4,74.89,79,55,16.26,CN,1604366457
428,chumikan,54.72,135.31,14.76,96,100,15.97,RU,1604366458
429,krasnaya gora,53.0,31.6,44.6,100,90,4.47,RU,1604366458
430,puerto escondido,15.85,-97.07,80.6,69,75,2.64,MX,1604366458
431,talakan,50.32,130.37,20.37,91,100,11.99,RU,1604366458
432,murray bridge,-35.12,139.27,91.0,33,100,14.58,AU,1604366459
433,terrace,54.52,-128.6,48.2,100,75,24.16,CA,1604366459
434,northam,51.03,-4.22,45.0,85,100,5.01,GB,1604366459
435,mackay,-21.15,149.2,82.4,58,40,20.8,AU,1604366459
436,tiznit,29.58,-9.5,66.18,32,0,1.74,MA,1604366460
437,comodoro rivadavia,-45.87,-67.5,62.6,63,100,6.93,AR,1604366460
438,pacific grove,36.62,-121.92,69.01,82,1,7.07,US,1604366460
439,rundu,-17.93,19.77,69.33,66,7,6.96,NA,1604366239
440,severo-yeniseyskiy,60.37,93.04,21.02,98,100,7.54,RU,1604366461
441,zhangjiakou,40.81,114.88,33.64,67,0,9.73,CN,1604366407
442,kashary,49.04,41.01,47.53,90,3,5.46,RU,1604366180
443,kiskunmajsa,46.49,19.74,51.01,94,100,5.95,HU,1604366461
444,sorong,-0.88,131.25,81.73,76,100,2.71,ID,1604366462
445,aykino,62.22,49.99,26.74,97,4,8.23,RU,1604366462
446,fethiye,36.62,29.12,57.2,58,0,6.93,TR,1604366241
447,bonfim,3.08,-59.95,78.4,79,100,11.03,BR,1604366463
448,benghazi,32.12,20.07,69.91,62,2,9.66,LY,1604366463
449,golkoy,40.69,37.62,57.2,100,75,2.24,TR,1604366463
450,kenai,60.55,-151.26,27.0,23,20,14.99,US,1604366463
451,dandong,40.13,124.39,34.61,66,0,15.52,CN,1604366464
452,pabellon de arteaga,22.15,-102.25,69.8,16,5,11.41,MX,1604366243
453,harsud,22.1,76.73,63.37,41,0,5.59,IN,1604366464
454,wajir,1.75,40.06,73.6,90,100,9.48,KE,1604366464
455,nouakchott,18.09,-15.98,80.6,18,100,8.05,MR,1604366421
456,ayagoz,47.97,80.44,27.75,96,9,7.43,KZ,1604366465
457,adrar,20.5,-10.07,79.34,17,100,9.33,MR,1604366465
458,mount gambier,-37.83,140.77,82.4,37,100,19.46,AU,1604366245
459,birao,10.28,22.79,74.16,38,33,4.29,CF,1604366466
460,berdigestyakh,62.1,126.7,-1.28,90,0,3.42,RU,1604366466
461,knezica,45.1,16.68,50.0,93,86,3.36,BA,1604366467
462,berlevag,70.86,29.09,43.54,82,98,30.87,NO,1604366467
463,maua,-23.67,-46.46,57.2,71,75,11.41,BR,1604366229
464,asmara,15.33,38.93,51.98,92,0,4.56,ER,1604366467
465,vila franca do campo,37.72,-25.43,60.8,67,40,9.17,PT,1604366468
466,tonj,7.27,28.68,73.9,77,76,1.66,SS,1604366247
467,fort nelson,58.81,-122.7,10.4,85,90,4.7,CA,1604366468
468,bontang,0.13,117.5,79.63,78,100,6.91,ID,1604366278
469,tilichiki,60.47,166.1,32.58,97,100,3.47,RU,1604366469
470,quatre cocos,-20.21,57.76,71.6,73,75,10.29,MU,1604366248
471,kitgum,3.28,32.89,69.17,74,12,5.12,UG,1604366469
472,alice springs,-23.7,133.88,93.2,9,0,10.29,AU,1604366265
473,chulman,56.85,124.91,-7.15,87,18,4.03,RU,1604366249
474,labuhan,-6.88,112.21,82.24,74,100,6.04,ID,1604366470
475,kasongo-lunda,-6.47,16.82,69.66,93,100,0.27,CD,1604366250
476,sao miguel do araguaia,-13.28,-50.16,71.98,88,70,3.29,BR,1604366470
477,buala,-8.14,159.59,80.15,81,100,4.85,SB,1604366250
478,pran buri,12.38,99.91,78.8,88,75,3.36,TH,1604366471
479,vredendal,-31.67,18.5,72.93,36,100,15.05,ZA,1604366471
480,jiazi,22.88,116.07,70.63,70,57,10.54,CN,1604366471
481,ajdabiya,30.76,20.23,65.12,67,2,6.89,LY,1604366251
482,mangaluru,12.87,74.88,77.0,88,75,3.69,IN,1604366472
483,mezen,65.85,44.24,34.2,90,100,17.38,RU,1604366472
484,akonolinga,3.77,12.25,67.73,97,81,1.3,CM,1604366252
485,lucapa,-8.42,20.74,65.16,98,53,1.03,AO,1604366252
486,belyy yar,53.6,91.39,33.8,94,100,2.24,RU,1604366473
487,campoverde,-8.48,-74.81,84.2,66,20,2.24,PE,1604366473
488,siano,40.8,14.69,59.0,80,76,1.01,IT,1604366253
489,ghatal,22.67,87.72,73.22,68,5,6.89,IN,1604366253
490,olafsvik,64.89,-23.71,39.11,81,100,17.69,IS,1604366474
491,gogrial,8.53,28.1,75.45,78,84,3.44,SS,1604366474
492,makakilo city,21.35,-158.09,87.8,62,1,11.41,US,1604366475
493,tvoroyri,61.56,-6.81,44.6,81,0,18.34,FO,1604366475
494,mildura,-34.2,142.15,89.01,23,26,13.87,AU,1604366244
495,stephenville,32.22,-98.2,60.01,51,1,8.81,US,1604366405
496,linares,-35.85,-71.6,58.87,79,0,5.48,CL,1604366255
497,tual,-5.67,132.75,82.56,77,100,9.35,ID,1604366476
498,vardo,70.37,31.11,44.82,81,100,29.73,NO,1604366256
499,nyrob,60.73,56.72,22.6,98,38,4.16,RU,1604366476
500,aransas pass,27.91,-97.15,66.2,82,1,4.7,US,1604366476
501,vestmannaeyjar,63.44,-20.27,43.29,71,100,30.89,IS,1604366477
502,colares,38.8,-9.45,61.0,93,100,11.01,PT,1604366477
503,bubaque,11.28,-15.83,83.61,75,0,12.77,GW,1604366257
504,protivin,49.2,14.22,59.0,82,81,1.99,CZ,1604366477
505,kudahuvadhoo,2.67,72.89,82.26,70,100,8.41,MV,1604366477
506,eureka,40.8,-124.16,48.99,100,90,5.82,US,1604366477
507,latung,5.5,120.88,83.05,79,70,11.79,PH,1604366258
508,eregli,37.51,34.05,42.93,64,0,1.66,TR,1604366478
509,puerto madryn,-42.77,-65.04,74.05,31,100,24.18,AR,1604366258
510,santa rita,-7.11,-34.98,78.8,83,20,8.05,BR,1604366479
511,zhigansk,66.77,123.37,1.13,90,100,18.97,RU,1604366479
512,beyneu,45.32,55.2,50.92,44,9,16.58,KZ,1604366479
513,itarema,-2.92,-39.92,79.61,82,0,11.43,BR,1604366479
514,homer,59.64,-151.55,26.6,35,90,11.41,US,1604366259
515,hofn,64.25,-15.21,42.93,62,97,12.19,IS,1604366480
516,sola,-13.88,167.55,81.14,75,100,7.16,VU,1604366480
517,lilongwe,-13.97,33.79,71.13,63,100,5.95,MW,1604366194
518,oranjemund,-28.55,16.43,61.48,88,93,7.2,NA,1604366481
519,pinawa,50.15,-95.88,37.76,90,0,5.23,CA,1604366481
520,sao filipe,14.9,-24.5,80.73,58,99,4.34,CV,1604366261
521,ketchikan,55.34,-131.65,48.2,93,90,5.82,US,1604366481
522,moroni,-11.7,43.26,74.71,71,9,4.76,KM,1604366482
523,severnoye,56.35,78.36,29.84,98,100,7.16,RU,1604366482
524,erzin,36.96,36.2,59.0,100,40,4.7,TR,1604366482
525,baturaja,-4.13,104.17,76.1,91,94,1.01,ID,1604366483
526,fabriano,43.34,12.91,54.0,86,81,3.38,IT,1604366483
527,asau,46.43,26.4,48.0,90,100,4.27,RO,1604366483
528,mangrol,21.12,70.12,77.7,39,0,12.19,IN,1604366483
529,santa cruz de la palma,28.68,-17.76,71.6,78,0,14.99,ES,1604366263
530,irara,-12.05,-38.77,71.22,96,100,6.96,BR,1604366484
531,yulara,-25.24,130.99,91.4,13,0,10.29,AU,1604366484
532,daru,-9.08,143.21,83.98,77,100,14.14,PG,1604366484
533,ouesso,1.61,16.05,70.41,96,79,1.72,CG,1604366485
534,helong,42.54,129.0,27.75,75,15,14.34,CN,1604366485
535,novoilinsk,51.68,108.71,18.14,87,77,1.28,RU,1604366485
536,bodden town,19.28,-81.25,86.0,70,20,17.22,KY,1604366265
537,cicero dantas,-10.6,-38.38,70.79,98,100,8.68,BR,1604366486
538,ayr,55.46,-4.63,44.6,87,75,21.92,GB,1604366486
539,cotonou,6.37,2.42,78.8,88,20,2.24,BJ,1604366486
540,wasilla,61.58,-149.44,21.2,34,1,23.04,US,1604366403
541,devils lake,48.11,-98.87,48.99,57,1,4.7,US,1604366217
542,paita,-5.09,-81.11,62.06,89,79,11.77,PE,1604366487
543,tuatapere,-46.13,167.68,63.0,64,0,3.0,NZ,1604366487
544,dieppe,49.75,1.17,46.99,93,0,8.05,FR,1604366487
545,nioro,13.35,-15.75,76.96,54,2,4.74,GM,1604366267
546,slave lake,55.28,-114.77,37.4,75,1,3.36,CA,1604366488
547,san jeronimo,-11.95,-75.28,54.54,64,100,3.0,PE,1604366267
548,port keats,-14.25,129.55,91.26,48,98,10.67,AU,1604366488
549,severodvinsk,64.56,39.83,35.6,80,90,15.66,RU,1604366488
550,banjar,-8.19,114.97,87.82,48,31,0.83,ID,1604366489
551,turan,16.07,108.22,75.2,88,40,2.24,VN,1604366435
552,rio grande,-32.03,-52.1,60.01,92,0,3.0,BR,1604366489
553,kedougou,12.56,-12.17,78.8,74,0,9.17,SN,1604366490
554,butembo,0.15,29.28,56.68,90,100,2.66,CD,1604366490
555,ravar,31.27,56.81,48.94,51,0,1.66,IR,1604366490
556,maceio,-9.67,-35.74,77.0,88,75,5.82,BR,1604366491
557,salvador,13.83,-88.92,80.6,60,0,16.11,SV,1604366202
558,kiri buru,22.08,85.35,65.84,66,0,1.68,IN,1604366270
559,goderich,43.75,-81.72,44.6,63,97,23.04,CA,1604366491
560,mombetsu,44.35,143.35,48.2,70,20,9.17,JP,1604366271
561,yajalon,17.23,-92.33,61.9,99,33,2.1,MX,1604366492
562,henties bay,-22.12,14.28,57.0,91,0,1.99,NA,1604366492
563,hatillo,18.49,-66.83,80.01,94,75,6.87,PR,1604366271
564,champerico,14.3,-91.92,84.2,83,40,4.7,GT,1604366493
565,vao,-22.67,167.48,75.78,89,100,8.21,NC,1604366493
566,tacuarembo,-31.73,-55.98,55.45,89,94,5.66,UY,1604366366
567,myskhako,44.67,37.74,50.0,93,100,6.71,RU,1604366493
568,charleston,32.78,-79.93,48.99,81,1,7.4,US,1604366091
569,changping,40.22,116.22,46.99,33,0,2.24,CN,1604366494
570,mandera,3.94,41.87,79.32,70,100,11.68,KE,1604366494
571,ewa beach,21.32,-158.01,87.8,62,1,11.41,US,1604366241
